SubmissionDate,Province,District,Village,Site_Visit_ID,KEY,Tool,Interview_Type,HF_Type,ID,Surveyor_Id
2025-11-01T11:46:06.267Z,Paktika,Zarghoon Shahr,,HER-PKA-HF1630-Q2-2025-1189-01,uuid:31bf89da-c96e-425c-9320-c183621e8185,HER_Re_QQC_R3,8,BHC,,FR2761
2025-11-01T12:18:18.821Z,Paktika,Zarghoon Shahr,,HER-PKA-HF1630-Q2-2025-1189-01,uuid:07d2db95-62ce-454f-8b41-c0a49e7cf1dd,HER_Re_QQC_R3,11,BHC,,FR3691
2025-11-01T12:35:33.731Z,Paktika,Zarghoon Shahr,,HER-PKA-HF1630-Q2-2025-1189-01,uuid:4ce54f25-4654-49e1-8565-a61ec5812cee,HER_Re_QQC_R3,7,BHC,,FR3691
2025-10-30T13:01:22.253Z,Paktika,Zarghoon Shahr,,HER-PKA-HF1630-Q2-2025-1189-01,uuid:c51cc62d-c25d-432e-84fe-5d98bb3d20d8,HER_Re_QQC_R3,1,BHC,,FR3691
2025-10-30T13:18:35.078Z,Paktika,Zarghoon Shahr,,HER-PKA-HF1630-Q2-2025-1189-01,uuid:7f6479f4-5d12-4f13-a6b4-3cfc5e6fe479,HER_Re_QQC_R3,5,BHC,,FR3691
2025-11-03T01:57:50.161Z,Logar,Pul-e-Alam,,HER-LGR-HF3807-Q2-2025-1167-01,uuid:6db4e29d-3ff4-48e7-b49c-98c818fea117,HER_Re_QQC_R3,7,BHC,,FR4019
2025-11-03T01:57:58.914Z,Logar,Pul-e-Alam,,HER-LGR-HF3807-Q2-2025-1167-01,uuid:5ff638da-bee8-435f-aa1b-3d9eeed70dac,HER_Re_QQC_R3,6,BHC,,FR4019
2025-11-03T01:58:20.100Z,Logar,Pul-e-Alam,,HER-LGR-HF3807-Q2-2025-1167-01,uuid:85f9aa49-877d-487c-8fbf-6305a1b24cb7,HER_Re_QQC_R3,3,BHC,,FR4019
2025-11-03T01:58:36.054Z,Logar,Pul-e-Alam,,HER-LGR-HF3807-Q2-2025-1167-01,uuid:411c0200-34f7-483a-986c-9b8fc59a720f,HER_Re_QQC_R3,1,BHC,,FR4019
2025-11-01T11:41:59.341Z,Paktika,Zarghoon Shahr,,HER-PKA-HF1630-Q2-2025-1189-01,uuid:b0127acc-4503-422c-9965-29f8fac0c617,HER_Re_QQC_R3,10,BHC,,FR2761
2025-11-03T07:11:15.460Z,Logar,Pul-e-Alam,,HER-LGR-HF3807-Q2-2025-1167-01,uuid:5b8549d5-b3bc-4fb8-a5d4-533e13bd2b56,HER_Re_QQC_R3,8,BHC,,FR3681
2025-11-03T07:11:57.102Z,Logar,Pul-e-Alam,,HER-LGR-HF3807-Q2-2025-1167-01,uuid:ec7fb677-f4ab-4d7e-9595-7150cca4d2eb,HER_Re_QQC_R3,2,BHC,,FR3681
2025-11-01T11:43:54.840Z,Paktika,Zarghoon Shahr,,HER-PKA-HF1630-Q2-2025-1189-01,uuid:9e8ccb2f-f8ae-4d71-a883-b69d616b8c4d,HER_Re_QQC_R3,2,BHC,,FR2761
2025-11-03T09:40:12.732Z,Paktya,Ahmadaba,,HER-PAK-HF2192-Q2-2025-1200-01,uuid:a8018381-1eb4-4f3c-8bbc-f1b35ba3ad77,HER_Re_QQC_R3,2,BHC,,FR4031
2025-11-03T09:44:44.965Z,Paktya,Ahmadaba,,HER-PAK-HF2192-Q2-2025-1200-01,uuid:454140e8-ce9a-4a75-b7b8-eaacb227eaf9,HER_Re_QQC_R3,1,BHC,,FR3900
2025-11-03T09:50:31.693Z,Paktya,Ahmadaba,,HER-PAK-HF2192-Q2-2025-1200-01,uuid:341056f2-4e7a-4926-9605-4ada8bf485eb,HER_Re_QQC_R3,11,BHC,,FR3900
2025-11-03T11:37:52.549Z,Paktya,Ahmadaba,,HER-PAK-HF2192-Q2-2025-1200-01,uuid:ee82d227-ba61-4c42-835a-0276710785e1,HER_Re_QQC_R3,5,BHC,,FR3900
